Neighborhood,Public Transit Scores,Driving Scores,Biking/Walking Scores,Transportation Scores
Bloomfield,86.89655172,181.6073384087465,250.1666666474231,518.6705567761696
Friendship,123.827586201,117.26826754829897,211.34722220596475,452.4430759552637
Lower Lawrenceville,79.0758620652,107.40337144391364,264.23611109078524,450.7153445998989
North Oakland,49.965517239,128.447110439857,266.41666664617304,444.82929432503005
Shadyside,116.87586206339999,233.06658984624698,94.73611110382372,444.6785630134707
Arlington Heights,386.25517239540005,28.215480423937787,0.0,414.47065281933783
Central Oakland,57.786206893800006,129.5160663519712,216.66666665,403.9689398957712
Northview Heights,336.28965515640004,42.805699104237696,19.79166666514423,398.887020925782
Bluff,100.36551723660001,144.95118946035745,149.65277776626604,394.96948446322347
West Oakland,96.0206896506,147.289421458779,141.66666665576923,384.97677776514826
East Allegheny,99.49655171939999,205.84712645566668,73.22222221658974,378.5659003916564
Central Northside,85.5931034442,167.08272982034262,120.62499999072115,373.3008332552638
Spring Hill-City View,64.3034482728,108.58086319953668,197.27777776260257,370.16208923493923
Terrace Village,196.38620688720002,58.287237862741875,108.333333325,363.0067780749419
Squirrel Hill North,48.2275862046,172.54930683874184,136.8472222116955,357.62411525503734
Central Business District,91.67586206460001,115.17781834374001,145.83333332211538,352.6870137304554
Middle Hill,209.8551724038,127.02253387007242,14.236111110016024,351.11381738388843
South Oakland,60.827586204,174.45793233118476,104.86111110304486,340.1466296382296
St. Clair,238.96551723000002,63.19229021166946,34.72222221955128,336.88002966122076
Manchester,181.17931033620002,114.60163610054687,40.277777774679485,336.05872421142635
California-Kirkbride,178.137931026,108.18196780040297,47.569444440785254,333.8893432671882
Garfield,118.1793103392,118.57104666025533,93.44444443725641,330.1948014367117
Homewood South,148.1586206826,155.17659208032032,14.930555554407052,318.2657683173274
Beltzhoover,187.26206895660002,128.9245285553556,0.0,316.1865975119556
Spring Garden,29.110344826200002,93.39875773277065,193.62499998510577,316.1341025440764
South Side Flats,67.7793103416,139.7948644190622,107.45833332506731,315.03250808572955
Greenfield,63.4344827556,135.359552408922,113.51388888015704,312.30792404467905
Homewood North,155.54482757879998,127.1663176884828,27.08333333125,309.7944785985328
Fineview,161.1931034406,119.84206769581522,23.958333331490383,304.9935044679056
Knoxville,132.0827586144,143.87315981212998,26.041666664663463,301.99758509119346
Allentown,165.103448268,131.8239362333983,0.0,296.9273845013983
Allegheny Center,72.9931034448,69.08009797963508,152.0833333216346,294.15653474606967
Larimer,134.689655166,126.46868697731198,32.29166666418269,293.45000880749467
Squirrel Hill South,98.62758620219999,98.1917843396843,95.83333332596153,292.65270386784584
North Shore,0.0,193.61258926631382,97.2222222147436,290.8348114810574
Mount Washington,71.689655169,183.90020172660167,34.93055555286859,290.52041244847027
Highland Park,104.275862064,107.81134057916063,72.59722221663782,284.68442485979847
Beechview,92.1103448232,155.9667051018765,35.73611110836218,283.8131610334387
East Liberty,103.4068965468,123.52879647661003,55.20833332908654,282.14402635249655
Bedford Dwellings,146.8551724068,89.77868601342341,44.44444444102564,281.0783028612491
Upper Lawrenceville,108.62068965,123.21191369234631,46.94444444083333,278.7770477831796
Crawford-Roberts,71.689655169,182.0282201684624,22.569444442708335,276.2873197801708
Mt. Oliver,102.103448271,126.74613390846797,46.180555552003206,275.0301377314712
Allegheny West,69.0827586174,114.32488714909192,89.5833333264423,272.99097909293425
East Hills,157.2827586132,104.74581373227484,10.069444443669871,272.0980167891447
Central Lawrenceville,75.5999999964,123.11035764584771,70.06944443905448,268.7798020813022
Upper Hill,135.9931034418,114.78625173146703,14.930555554407052,265.7099107276741
Perry South,142.5103448208,110.52264272777808,12.499999999038462,265.53298754761653
South Shore,102.9724137882,161.3788397035961,0.0,264.3512534917961
Morningside,65.6068965486,144.29473955154688,53.069444440362176,262.9710805405091
Marshall-Shadeland,149.0275861998,95.46652259704642,18.40277777636218,262.89688657320863
Homewood West,132.517241373,91.94347005614112,37.84722221931089,262.307933648452
Point Breeze North,155.11034482020003,91.17045753725998,5.208333332932693,251.4891356903927
Stanton Heights,54.7448275836,138.26454392457288,58.01388888442628,251.02326039259916
Swisshelm Park,28.241379309,118.26009670345032,99.97222221453205,246.47369822698238
Glen Hazel,156.413793096,89.9556238676323,0.0,246.36941696363232
Hazelwood,112.5310344774,108.90367881125906,23.01388888711859,244.44860217577764
Elliott,119.9172413736,109.16611917884308,11.458333332451922,240.541693884895
Point Breeze,68.6482758588,117.92855634546517,48.208333329625,234.78516553389017
Lincoln-Lemington-Belmar,121.2206896494,93.71284859823028,14.930555554407052,229.86409380203733
Regent Square,102.103448271,116.93044537300464,10.763888888060897,229.79778253206555
Carrick,85.15862068560001,125.7895527282182,16.319444443189102,227.2676178570073
Sheraden,90.8068965474,128.3525341903686,5.902777777323718,225.06220851509232
Chartiers City,63.4344827556,154.33203664208452,0.0,217.76651939768453
South Side Slopes,49.096551721800004,133.07366888807707,34.37499999735577,216.54522060723286
Brighton Heights,77.77241378939999,125.1229821137428,11.11111111025641,214.00650701339922
Oakwood,53.441379307800005,137.83563539829527,15.972222220993588,207.24923692708884
Westwood,56.0482758594,120.80981655128134,30.208333331009612,207.06642574169095
Brookline,52.137931032,139.22217207437416,15.499999998807692,206.86010310518182
Troy Hill,43.013793101400005,133.08727949224698,29.513888886618588,205.61496148026558
Crafton Heights,72.9931034448,129.4902411030334,2.7777777775641024,205.2611223253975
Overbrook,67.344827583,128.76992605157938,9.027777777083333,205.1425314116627
Polish Hill,49.096551721800004,146.25117665350976,4.166666666346154,199.51439504165592
Bon Air,58.655172411,126.67528896881429,12.847222221233974,198.17768360104827
Arlington,58.655172411,132.49748664488394,6.597222221714743,197.74988127759866
Strip District,78.6413793066,117.13565140510492,0.0,195.77703071170492
Perry North,56.917241376599996,123.5305414258626,12.847222221233974,193.29500502369658
Windgap,78.206896548,112.68882272989786,0.0,190.89571927789785
West End,67.7793103416,122.06129415521262,0.0,189.8406044968126
Banksville,50.834482756199996,135.08873628492572,2.43055555536859,188.3537745964943
Ridgemont,0.0,132.83810073898235,51.736111107131414,184.57421184611377
Lincoln Place,38.668965515400004,144.02846029560726,1.0416666665865384,183.7390924775938
Duquesne Heights,61.2620689626,109.47148529803994,10.069444443669871,180.80299870430983
Summer Hill,11.2965517236,168.95087249012627,0.0,180.24742421372628
Esplen,70.3862068932,82.3696314870817,0.0,152.75583838028172
New Homestead,8.2551724134,137.90368841914486,6.249999999519231,152.40886083206408
East Carnegie,0.0,147.79720169127205,0.0,147.79720169127205
Hays,0.0,114.65049467961839,0.0,114.65049467961839
Fairywood,26.068965516,69.27378734666853,0.0,95.34275286266853
Chateau,,,,
