Timestamp,How important is easy access to public transportation?,"How important is it for a neighborhood to be ""driver-friendly""? (many major roads, parking available)",How important is it for walking/biking to be a viable form of transportation in a neighborhood?,How important is affordable housing in a neighborhood?,How important is housing occupancy? (most homes occupied/not vacant),How important is long-term residency? (people tend to stay there for a longer period of time),How important is it for a neighborhood to be fairly drug-free? (low drug violations),How important is it for a neighborhood to have a low theft rate?
11/13/2021 16:59:21,5,5,5,5,3,3,5,5
11/13/2021 17:05:23,5,3,4,4,3,2,3,5
11/13/2021 17:14:36,3,5,5,5,3,1,5,5
11/13/2021 17:15:26,4,4,5,4,2,3,4,5
11/13/2021 17:15:31,5,4,4,5,3,5,3,3
11/13/2021 17:17:28,5,5,4,5,4,5,5,5
11/13/2021 17:18:30,4,3,5,5,3,3,3,4
11/13/2021 17:20:22,5,2,4,5,2,2,5,5
11/13/2021 17:21:57,5,4,4,4,3,2,3,3
11/13/2021 17:22:13,4,3,5,5,3,4,3,5
11/13/2021 17:35:42,5,3,4,5,3,4,3,5
11/13/2021 17:45:46,4,3,5,5,4,4,4,5
11/13/2021 17:48:27,4,4,4,5,5,5,5,5
11/13/2021 17:50:47,5,5,4,5,2,4,4,5
11/13/2021 17:52:54,4,3,3,5,5,3,4,5
11/13/2021 17:53:49,5,4,5,5,4,5,5,5
11/13/2021 18:01:12,4,2,5,3,5,4,5,5
11/13/2021 18:02:21,4,4,5,5,3,3,5,5
11/13/2021 18:08:21,5,2,5,5,5,5,3,4
11/13/2021 18:12:20,5,4,5,5,3,3,5,5
11/13/2021 18:14:37,5,4,5,5,2,4,4,5
11/13/2021 18:22:23,4,4,5,5,4,5,5,5
11/13/2021 18:31:01,5,3,5,5,5,3,5,5
11/13/2021 18:31:55,5,3,5,4,3,3,5,5
11/13/2021 18:38:38,5,3,4,1,5,2,4,4
11/13/2021 18:40:28,4,3,4,4,4,3,5,5
11/13/2021 18:52:36,5,3,4,5,3,5,4,5
11/13/2021 18:54:39,4,3,4,4,4,4,5,5
11/13/2021 18:57:09,5,4,4,5,2,3,2,4
11/13/2021 18:57:39,4,3,3,5,4,2,2,4
11/13/2021 18:58:05,3,3,3,5,3,3,4,4
11/13/2021 19:00:50,5,5,5,5,5,5,5,5
11/13/2021 19:00:54,5,4,4,5,4,4,5,5
11/13/2021 19:07:25,5,5,5,5,5,5,5,5
11/13/2021 19:08:09,4,3,4,2,5,4,5,5
11/13/2021 19:12:21,5,4,5,5,3,3,5,5
11/13/2021 19:12:37,5,2,5,5,3,2,1,5
11/13/2021 19:18:03,4,5,5,5,3,2,5,4
11/13/2021 19:21:55,4,5,4,3,3,4,4,4
11/13/2021 19:22:27,4,2,5,5,4,2,3,3
11/13/2021 19:49:11,3,4,5,5,4,5,4,5
11/13/2021 20:00:39,4,4,4,5,5,4,4,5
11/13/2021 20:28:24,3,4,2,5,4,2,4,4
11/13/2021 20:43:04,5,1,5,5,3,2,4,5
11/13/2021 20:48:00,4,3,5,5,2,5,5,5
11/13/2021 20:49:07,4,2,4,5,4,2,3,3
11/13/2021 20:52:29,4,5,3,5,4,4,,5
11/13/2021 20:57:52,5,3,5,5,4,3,4,5
11/13/2021 21:01:48,4,3,3,3,5,2,2,3
11/13/2021 21:08:01,4,3,4,3,2,3,4,4
11/13/2021 21:08:23,5,4,5,4,5,4,5,5
11/13/2021 21:14:11,5,5,4,5,4,3,5,3
11/13/2021 21:35:58,5,4,4,5,4,4,4,5
11/13/2021 21:43:58,3,4,4,3,4,4,4,4
11/13/2021 21:47:44,2,4,3,4,4,3,4,5
11/13/2021 23:05:15,4,4,4,4,2,2,5,5
11/13/2021 23:30:26,4,5,4,5,4,2,5,5
11/13/2021 23:33:58,5,3,5,4,2,5,3,3
11/14/2021 0:14:57,5,5,5,5,3,3,5,5
11/14/2021 0:28:44,5,5,5,5,5,3,2,5
11/14/2021 0:47:34,4,5,4,5,4,3,3,4
11/14/2021 0:48:23,5,4,5,5,3,3,4,5
11/14/2021 1:19:02,3,5,4,4,3,4,3,3
11/14/2021 2:27:12,5,2,5,5,5,4,5,5
11/14/2021 9:15:33,4,4,5,4,3,3,3,4
11/14/2021 10:55:09,5,4,5,5,4,1,2,3
11/14/2021 12:22:43,4,3,4,4,5,2,3,5
11/14/2021 12:55:01,5,4,5,4,3,2,3,5
11/14/2021 23:59:03,5,5,5,5,5,4,5,5
11/15/2021 0:02:47,4,4,3,4,4,4,3,5
11/15/2021 0:09:24,5,5,3,5,4,3,1,3
11/15/2021 0:09:48,4,4,4,5,3,5,4,5
11/15/2021 0:15:06,4,3,5,3,3,2,2,4
11/15/2021 0:24:31,4,4,4,5,4,3,5,5
11/15/2021 0:24:40,4,4,3,5,4,4,5,5
11/15/2021 0:31:41,3,4,4,5,3,4,5,4
11/15/2021 1:00:03,5,4,5,5,5,5,3,4
11/15/2021 1:05:24,5,3,5,5,5,3,4,5
11/15/2021 1:07:49,4,4,4,3,4,4,3,4
11/15/2021 1:11:09,5,5,5,5,4,5,5,5
11/15/2021 1:15:55,5,4,5,5,4,3,4,4
11/15/2021 1:32:13,4,5,4,4,4,3,3,3
11/15/2021 6:40:47,5,5,5,3,4,2,1,5
11/15/2021 6:47:49,4,4,5,5,5,5,4,5
11/15/2021 7:22:59,1,1,1,1,1,5,1,1
11/15/2021 8:29:55,5,5,5,5,5,5,5,5
11/15/2021 9:59:47,4,5,4,4,3,4,5,5
,4.344827586,3.75862069,4.333333333,4.494252874,3.67816092,3.425287356,3.895348837,4.494252874